R1_PINH1,100.22,48.24,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,110.81,28.44,0.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,151.94,39.70,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
R2-PINH,5.02,71.57,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,108.03,48.69,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,143.18,62.83,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,143.00,56.87,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,49.56,42.85,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,64.69,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,59.61,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,54.53,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,49.45,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,44.37,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,39.29,80.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,5.31,37.71,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,38.75,108.53,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,47.81,98.77,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,113.21,39.74,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,16.18,99.34,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,153.46,6.83,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,26.99,98.19,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,14.44,71.01,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,144.96,24.69,0.00,,SJ
TP1,131.31,62.99,0.00,TPTP20R,TP20R
TP10,100.28,63.21,0.00,TPTP20R,TP20R
TP11,93.69,62.79,0.00,TPTP20R,TP20R
TP12,87.23,63.01,0.00,TPTP20R,TP20R
TP13,80.88,63.01,0.00,TPTP20R,TP20R
TP14,74.53,63.01,0.00,TPTP20R,TP20R
TP15,68.18,63.01,0.00,TPTP20R,TP20R
TP16,61.83,63.01,0.00,TPTP20R,TP20R
TP17,55.48,63.01,0.00,TPTP20R,TP20R
TP2,131.33,59.29,0.00,TPTP20R,TP20R
TP3,78.85,98.99,0.00,TPTP20R,TP20R
TP4,73.97,99.09,0.00,TPTP20R,TP20R
TP5,68.49,98.89,0.00,TPTP20R,TP20R
TP6,61.61,70.79,0.00,TPTP20R,TP20R
TP7,56.53,70.79,0.00,TPTP20R,TP20R
TP8,51.45,70.79,0.00,TPTP20R,TP20R
TP9,46.37,70.79,0.00,TPTP20R,TP20R
U1,35.59,41.46,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,5.70,54.14,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,97.75,34.80,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,122.07,4.12,0.00,MAX17048G+T10,SON50P200X200X80-9N
